id,catalog_number,additional_description
339735,AL09058,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339727,AL09078,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341519,AL110158,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
346960,BK47,BK47-QT
347239,BK50,BK50-QT
346958,BK52,BK52-QT
339692,AL1001,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
702627,9HS,"Our new Sure-Flex® Plus EPDM and Neoprene sleeves are best-in-class for coupling performance and value. Their 4-way flexing action absorbs virtually all types of shock, misalignment, and end float. With Sure-Flex couplings, the need for lubrication and maintenance is eliminated."
341393,AL110112,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
338395,M2,Sure-Grip® Bushing
340628,AL150118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341106,AL09534,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
338998,7SMPB,"Our new Sure-Flex® Plus EPDM and Neoprene sleeves are best-in-class for coupling performance and value. Their 4-way flexing action absorbs virtually all types of shock, misalignment, and end float. With Sure-Flex couplings, the need for lubrication and maintenance is eliminated."
339679,AL09558,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339743,AL07558,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
340257,AL07058,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
